item_code,item_name,category,unit,location,unit_price,min_stock,current_qty,total_value
OFF-001,กระดาษถ่ายเอกสาร A4 70 แกรม Double A,วัสดุสำนักงาน,รีม,ห้องพัสดุกลาง ชั้น 1,115.00,20,45,5175.00
OFF-002,กระดาษถ่ายเอกสาร A4 80 แกรม Double A,วัสดุสำนักงาน,รีม,ห้องพัสดุกลาง ชั้น 1,135.00,25,60,8100.00
OFF-003,กระดาษถ่ายเอกสาร F14 80 แกรม,วัสดุสำนักงาน,รีม,ห้องพัสดุกลาง ชั้น 1,160.00,10,18,2880.00
OFF-004,ปากกาไวท์บอร์ด หมึกน้ำเงิน ตราม้า,วัสดุการศึกษา,ด้าม,ห้องพัสดุกลาง ชั้น 1,18.00,50,120,2160.00
OFF-005,ปากกาไวท์บอร์ด หมึกแดง ตราม้า,วัสดุการศึกษา,ด้าม,ห้องพัสดุกลาง ชั้น 1,18.00,30,75,1350.00
OFF-006,ปากกาไวท์บอร์ด หมึกดำ ตราม้า,วัสดุการศึกษา,ด้าม,ห้องพัสดุกลาง ชั้น 1,18.00,30,80,1440.00
OFF-007,หมึกเติมปากกาไวท์บอร์ด สีน้ำเงิน 25 มล.,วัสดุการศึกษา,ขวด,ห้องพัสดุกลาง ชั้น 1,35.00,15,32,1120.00
OFF-008,แปรงลบกระดานไวท์บอร์ด ชนิดมีแม่เหล็ก,วัสดุการศึกษา,อัน,ห้องพัสดุกลาง ชั้น 1,28.00,20,42,1176.00
OFF-009,แฟ้มสันกว้าง 3 นิ้ว ตราช้าง 2101F ขนาด F4,วัสดุสำนักงาน,เล่ม,ห้องพัสดุกลาง ชั้น 1,75.00,25,54,4050.00
OFF-010,แฟ้มห่วง 2 ห่วง A4 ตราช้าง,วัสดุสำนักงาน,เล่ม,ห้องพัสดุกลาง ชั้น 1,52.00,20,38,1976.00
OFF-011,ซองเอกสารสีน้ำตาล ขนาด A4 (แพ็ค 50 ซอง),วัสดุสำนักงาน,แพ็ค,ห้องพัสดุกลาง ชั้น 1,120.00,10,24,2880.00
OFF-012,ซองเอกสารสีน้ำตาล ขยายข้าง 11x17 นิ้ว (แพ็ค 25 ซอง),วัสดุสำนักงาน,แพ็ค,ห้องพัสดุกลาง ชั้น 1,145.00,5,12,1740.00
OFF-013,ลวดเย็บกระดาษ MAX เบอร์ 10,วัสดุสำนักงาน,กล่อง,ห้องพัสดุกลาง ชั้น 1,15.00,40,95,1425.00
OFF-014,ลวดเย็บกระดาษ MAX เบอร์ 3 (24/6),วัสดุสำนักงาน,กล่อง,ห้องพัสดุกลาง ชั้น 1,25.00,20,48,1200.00
OFF-015,เครื่องเย็บกระดาษ MAX HD-10,วัสดุสำนักงาน,เครื่อง,ห้องพัสดุกลาง ชั้น 1,85.00,10,22,1870.00
OFF-016,เครื่องเย็บกระดาษขนาดใหญ่ MAX HD-50,วัสดุสำนักงาน,เครื่อง,ห้องพัสดุกลาง ชั้น 1,290.00,5,9,2610.00
OFF-017,เครื่องเจาะกระดาษ 2 รู ตราช้าง DP-480,วัสดุสำนักงาน,เครื่อง,ห้องพัสดุกลาง ชั้น 1,140.00,8,15,2100.00
